text,coding,round,recipient,sender.id,sender.name,treatment,direction,gameID,guess.x,confidence.x,nRabbits.x,nSquirrels.x,nCritters.x,mleEstimate.x,nSquirrelsGame.x,nRabbitsGame.x,mleGame.x,entropy.x,representation.x,designatedGame.x,entropy_bin.x,representation_bin.x,nCrittersGame_bin.x,error.x,guess.y,confidence.y,nRabbits.y,nSquirrels.y,nCritters.y,mleEstimate.y,nSquirrelsGame.y,nRabbitsGame.y,mleGame.y,entropy.y,representation.y,designatedGame.y,entropy_bin.y,representation_bin.y,nCrittersGame_bin.y,error.y
What's your percentage?,q,4,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,25,89,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993,25,89,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993
3:5 squirrel:rabbit,pn,4,01JD3EGVEHDS80WTGTWGYTMD75,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,38,59,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",12.07,38,59,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",12.07
45 squirrels,pn,4,01JD3EGZPD31C9A16V15AVCABM,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,6,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",19.93,6,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",19.93
Wow!,o,4,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,25,89,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993,25,89,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.929999999999993
4 Rabbits and 2 Squirrels,pn,5,01JD3EGVEHDS80WTGTWGYTMD75,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,61,34,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",35.07,61,34,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",35.07
What's your percentage?,q,5,01JD3D496FNA350BWA3FCJ0N36,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,30,91,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",4.07000000000001,30,91,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",4.07000000000001
3:5 squirrel:rabbit,pn,5,01JD3EGZPD31C9A16V15AVCABM,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,27,51,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.07000000000001,27,51,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.07000000000001
6 rabbits and 1squirrel,pn,5,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA,NA,NA,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",NA
4 Rabbits and 2 Squirrels,pn,6,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,52,39,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",26.07,52,39,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",26.07
What's your percentage?,q,6,01JD3EGZPD31C9A16V15AVCABM,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,26,94,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.0700000000000074,26,94,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",0.0700000000000074
3 squirrels 5 rabbits,pn,6,01JD3D496FNA350BWA3FCJ0N36,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,30,54,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",4.07000000000001,30,54,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",4.07000000000001
unchanged,o,6,01JD3EGVEHDS80WTGTWGYTMD75,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,1,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.93,1,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.93
4:2 rabbits,pn,6,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,52,39,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",26.07,52,39,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",26.07
4 Rabbits and 2 Squirrels,pn,7,01JD3D496FNA350BWA3FCJ0N36,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,51,44,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",25.07,51,44,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",25.07
What percentage can you see?,q,7,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,29,86,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001,29,86,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001
3 squirrels 5 rabbits,pn,7,01JD3EGVEHDS80WTGTWGYTMD75,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,29,59,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001,29,59,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001
unchanged,o,7,01JD3EGZPD31C9A16V15AVCABM,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,50,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.07,50,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.07
Thanks.,o,7,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,29,86,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001,29,86,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.07000000000001
4 Rabbits and 2 Squirrels,pn,8,01JD3EGVEHDS80WTGTWGYTMD75,01JD3EGZPD31C9A16V15AVCABM,player 3,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,44,20,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",18.07,44,20,5,2,7,0.714285714285714,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",18.07
3 squirrels 5 rabbits,pn,8,01JD3EGZPD31C9A16V15AVCABM,01JD3EJZ1BXTKMC13K0W9WN5X2,player 4,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,22,58,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.92999999999999,22,58,5,3,8,0.625,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",3.92999999999999
6 rabbits and 1 squirrel,pn,8,01JD3EJZ1BXTKMC13K0W9WN5X2,01JD3D496FNA350BWA3FCJ0N36,player 1,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,1,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.93,1,100,6,1,7,0.857142857142857,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",24.93
What percentage of rabbits can you see?,q,8,01JD3D496FNA350BWA3FCJ0N36,01JD3EGVEHDS80WTGTWGYTMD75,player 2,interactive,RS,01JD3E7HYGK85SAZKGC9VS7GKG,27,91,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.07000000000001,27,91,4,1,5,0.8,7,20,0.7407,1.3727,0.0795,10545,"1.4,1.6","0,0.12","25,30",1.07000000000001
i see one squirrel,n,1,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,87,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,87,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
no rabbits,pb,1,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,87,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,87,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
There is 1 squirrel,pn,1,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
there are 12 bunnies and two squirrels,pn,1,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41
I saw 1 squirrel and no other critters. It was sitting at the far left and middle of my window.,pn,1,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
i only see 1 squirrel,pn,2,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
no rabbits,pb,2,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
"I see 1 squirrel, no rabbits",pn,2,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
12 bunnies and 3 squirrels,pnsn,2,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41
There is only one squirrel,pn,2,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA
i only see 1 squirrel and no rabbits,pn,3,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
again just 1 squirrel,pn,3,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA
no rabbits,pb,3,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA,NA,NA,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",NA
There is only one squirrel no rabbits,pn,3,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
12 bunnies 2 squirrels,pn,3,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41
i only see 1 squirrel and no rabbits,pn,4,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
1 squirrel,pn,4,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
There is only one squirrel,pn,4,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
i see 12 rabbits 2 squirrels,pn,4,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41
only 1 squirrel,pn,5,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
i only see one squirrel no rabbits,pn,5,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
There is only one squirrel,pn,5,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,76,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,76,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
2 squirrels,pn,5,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41,12,100,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",17.41
There is only one squirrel,pn,6,01JD3D4F871GFAP0XVSPB3ZCV1,01JD3D4B3JPHEW7N5VN1W4W61X,player 1,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
only 1 squirrel,pn,6,01JD3D8FNQMYKZSCEXQJMATBKW,01JD3D86DCXGKW395VYVWH2ZGS,player 3,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,85,84,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",55.59,85,84,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",55.59
only 1 squirrel no rabbits,pn,6,01JD3D4B3JPHEW7N5VN1W4W61X,01JD3D8FNQMYKZSCEXQJMATBKW,player 4,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59,100,100,0,1,1,0,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",70.59
2 squirrels,pn,6,01JD3D86DCXGKW395VYVWH2ZGS,01JD3D4F871GFAP0XVSPB3ZCV1,player 2,interactive,RS,01JD3CSYSGATA1GNP7YFFCMXSG,13,13,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",16.41,13,13,12,2,14,0.857142857142857,5,12,0.7059,0.6598,0.5672,10023,"0.54,0.81","0.48,0.6","15,20",16.41
